[DEBUG] 2020-05-13 10:19:06.322 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-05-13 10:19:06.333 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-05-13 10:19:06.338 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-05-13 10:19:06.456 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-05-13 10:19:06.457 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-05-13 10:19:06.747 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-05-13 10:19:06.754 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-05-13 10:19:06.769 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-05-13 10:19:07.146 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-05-13 10:19:07.166 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-05-13 10:19:07.167 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-05-13 10:19:07.191 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-05-13 10:19:07.220 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1744a475
[DEBUG] 2020-05-13 10:19:07.222 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1744a475
[DEBUG] 2020-05-13 10:19:07.222 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@1744a475
[DEBUG] 2020-05-13 10:19:07.223 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@2eb917d0
[DEBUG] 2020-05-13 10:19:07.226 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6a48a7f3
[DEBUG] 2020-05-13 10:19:07.226 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@3d278b4d
[DEBUG] 2020-05-13 10:19:07.227 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@14d8444b
[DEBUG] 2020-05-13 10:19:07.227 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@14d8444b
[DEBUG] 2020-05-13 10:19:07.227 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@14d8444b
[DEBUG] 2020-05-13 10:19:07.238 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@205bed61
