[DEBUG] 2020-05-05 13:09:57.806 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-05-05 13:09:57.809 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-05-05 13:09:57.810 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-05-05 13:09:57.845 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-05-05 13:09:57.846 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-05-05 13:09:57.932 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-05-05 13:09:57.932 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-05-05 13:09:57.935 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-05-05 13:09:58.068 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-05-05 13:09:58.077 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-05-05 13:09:58.077 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-05-05 13:09:58.086 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-05-05 13:09:58.100 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6dfcffb5
[DEBUG] 2020-05-05 13:09:58.100 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6dfcffb5
[DEBUG] 2020-05-05 13:09:58.100 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6dfcffb5
[DEBUG] 2020-05-05 13:09:58.101 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@14d8444b
[DEBUG] 2020-05-05 13:09:58.101 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@16a49a5d
[DEBUG] 2020-05-05 13:09:58.101 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@129fed45
[DEBUG] 2020-05-05 13:09:58.102 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@702c436b
[DEBUG] 2020-05-05 13:09:58.102 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@702c436b
[DEBUG] 2020-05-05 13:09:58.102 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@702c436b
[DEBUG] 2020-05-05 13:09:58.102 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@37303f12
[DEBUG] 2020-05-05 13:09:58.102 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@37303f12
[DEBUG] 2020-05-05 13:09:58.102 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@37303f12
[DEBUG] 2020-05-05 13:09:58.103 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2ab5afc7
[DEBUG] 2020-05-05 13:09:58.103 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2ab5afc7
[DEBUG] 2020-05-05 13:09:58.103 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2ab5afc7
[DEBUG] 2020-05-05 13:09:58.104 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@3ed03652
[DEBUG] 2020-05-05 13:09:58.104 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@3ed03652
[DEBUG] 2020-05-05 13:09:58.104 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@3ed03652
[DEBUG] 2020-05-05 13:09:58.104 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1dc76fa1
[DEBUG] 2020-05-05 13:09:58.104 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1dc76fa1
